timestamp,latitude degree,longitude degree,velocity in m/s
2023/11/20 16:48:05,-7.62948315,110.30286774,4.539999961853027
2023/11/20 16:48:06,-7.62947136,110.30284066,4.079999923706055
2023/11/20 16:48:07,-7.62946691,110.30281248,3.9200000762939453
2023/11/20 16:48:08,-7.62946994,110.30278763,3.5899999141693115
2023/11/20 16:48:09,-7.62948467,110.30275998,3.799999952316284
2023/11/20 16:48:10,-7.62950528,110.30273201,3.869999885559082
2023/11/20 16:48:11,-7.62955134,110.30270799,4.599999904632568
2023/11/20 16:48:12,-7.62961041,110.30270512,4.860000133514404
2023/11/20 16:48:13,-7.6296554,110.30269403,5.039999961853027
2023/11/20 16:48:14,-7.62971054,110.30265151,6.409999847412109
2023/11/20 16:48:15,-7.62976834,110.30262724,6.849999904632568
2023/11/20 16:48:16,-7.62982306,110.30259193,6.909999847412109
2023/11/20 16:48:17,-7.6298807,110.30256793,7.21999979019165
2023/11/20 16:48:18,-7.62994171,110.30252098,7.449999809265137
2023/11/20 16:48:19,-7.62999914,110.30246315,7.460000038146973
2023/11/20 16:48:20,-7.63005083,110.30244545,7.070000171661377
2023/11/20 16:48:21,-7.63011011,110.30241489,6.949999809265137
2023/11/20 16:48:22,-7.63015331,110.30238642,6.360000133514404
2023/11/20 16:48:23,-7.63019713,110.30234354,6.039999961853027
2023/11/20 16:48:24,-7.63025932,110.30232819,5.960000038146973
2023/11/20 16:48:25,-7.6302901,110.30230178,5.25
2023/11/20 16:48:26,-7.63031573,110.30228017,3.940000057220459
2023/11/20 16:48:27,-7.6303108,110.30222747,3.559999942779541
2023/11/20 16:48:28,-7.63030487,110.30219568,4.050000190734863
2023/11/20 16:48:29,-7.6302733,110.30215766,4.53000020980835
2023/11/20 16:48:30,-7.63023527,110.302124,5.590000152587891
2023/11/20 16:48:31,-7.63019531,110.30208454,5.980000019073486
2023/11/20 16:48:32,-7.63014702,110.30204395,6.0
2023/11/20 16:48:33,-7.63010607,110.30199849,7.110000133514404
2023/11/20 16:48:34,-7.63006007,110.30194426,7.480000019073486
2023/11/20 16:48:35,-7.63001002,110.30189007,7.679999828338623
2023/11/20 16:48:36,-7.62995522,110.3018358,7.860000133514404
2023/11/20 16:48:37,-7.62989507,110.30177686,8.609999656677246
2023/11/20 16:48:38,-7.62983638,110.301735,8.40999984741211
2023/11/20 16:48:39,-7.62978357,110.30168637,8.430000305175781
2023/11/20 16:48:40,-7.62971795,110.3016492,8.380000114440918
2023/11/20 16:48:41,-7.62964602,110.30161421,9.079999923706055
2023/11/20 16:48:42,-7.62955528,110.30156293,9.399999618530273
2023/11/20 16:48:43,-7.62948401,110.30153307,9.1899995803833
2023/11/20 16:48:44,-7.62940985,110.30149037,9.319999694824219
2023/11/20 16:48:45,-7.62933482,110.30144031,9.1899995803833
2023/11/20 16:48:46,-7.6292471,110.30143098,9.34000015258789
2023/11/20 16:48:47,-7.62916373,110.30141069,9.380000114440918
2023/11/20 16:48:48,-7.62908443,110.30140068,8.989999771118164
2023/11/20 16:48:49,-7.62900935,110.30138293,8.920000076293945
2023/11/20 16:48:50,-7.62894387,110.30139897,8.020000457763672
2023/11/20 16:48:51,-7.62886948,110.30140104,7.760000228881836
2023/11/20 16:48:52,-7.62880679,110.30140567,6.869999885559082
2023/11/20 16:48:53,-7.62874309,110.30140902,6.230000019073486
2023/11/20 16:48:54,-7.62868828,110.30140233,6.159999847412109
2023/11/20 16:48:55,-7.62863759,110.30139851,6.300000190734863
2023/11/20 16:48:56,-7.62857431,110.30139765,6.440000057220459
2023/11/20 16:48:57,-7.62851885,110.301391,6.679999828338623
2023/11/20 16:48:58,-7.6284618,110.30138668,6.429999828338623
2023/11/20 16:48:59,-7.62839807,110.30138914,6.46999979019165
2023/11/20 16:49:00,-7.62833764,110.30138262,7.25
2023/11/20 16:49:01,-7.62826485,110.30137591,7.340000152587891
2023/11/20 16:49:02,-7.62820109,110.30136846,6.929999828338623
2023/11/20 16:49:03,-7.62814874,110.30135392,6.409999847412109
2023/11/20 16:49:04,-7.62810608,110.30132237,5.809999942779541
